name,inspection_result,inspection_closed_business,violation_type,violation_points
108 AUTHENTIC VIETNAMESE CUISINE,Unsatisfactory,FALSE,RED,10
108 AUTHENTIC VIETNAMESE CUISINE,Complete,FALSE,,0
108 AUTHENTIC VIETNAMESE CUISINE,Complete,FALSE,,0
108 AUTHENTIC VIETNAMESE CUISINE,Satisfactory,FALSE,,0
112TH DELI,Unsatisfactory,FALSE,BLUE,5
112TH DELI,Unsatisfactory,FALSE,RED,5
112TH DELI,Unsatisfactory,FALSE,RED,5
112TH DELI,Unsatisfactory,FALSE,BLUE,3
112TH DELI,Unsatisfactory,FALSE,RED,25
112TH DELI,Unsatisfactory,FALSE,RED,5
112TH DELI,Unsatisfactory,FALSE,BLUE,5
112TH DELI,Unsatisfactory,FALSE,BLUE,5
112TH DELI,Unsatisfactory,FALSE,BLUE,5
112TH DELI,Unsatisfactory,FALSE,RED,5
112TH DELI,Unsatisfactory,FALSE,RED,25
112TH DELI,Unsatisfactory,FALSE,RED,5
112TH DELI,Satisfactory,FALSE,,0
112TH DELI,Unsatisfactory,FALSE,RED,10
112TH DELI,Unsatisfactory,FALSE,RED,10
112TH DELI,Unsatisfactory,FALSE,RED,5
112TH DELI,Incomplete,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Satisfactory,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Satisfactory,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Complete,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Unsatisfactory,FALSE,BLUE,5
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Unsatisfactory,FALSE,RED,5
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Unsatisfactory,FALSE,BLUE,5
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Unsatisfactory,FALSE,RED,5
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Complete,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Complete,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Satisfactory,FALSE,,0
"116 TWO ZERO, LLC. / SALMON CREEK CAFE",Satisfactory,FALSE,,0
11TH AVENUE INN,Satisfactory,FALSE,,0
11TH AVENUE INN,Satisfactory,FALSE,BLUE,5
11TH AVENUE INN,Unsatisfactory,FALSE,RED,5
11TH AVENUE INN,Satisfactory,FALSE,,0
11TH AVENUE INN,Satisfactory,FALSE,,0
11TH AVENUE INN,Unsatisfactory,FALSE,RED,15
11TH AVENUE INN,Unsatisfactory,FALSE,RED,10
11TH AVENUE INN,Unsatisfactory,FALSE,RED,5
11TH AVENUE INN,Satisfactory,FALSE,,0
11TH AVENUE INN,Satisfactory,FALSE,,0
11TH AVENUE INN,Unsatisfactory,FALSE,RED,5
11TH AVENUE INN,Unsatisfactory,FALSE,BLUE,5
11TH AVENUE INN,Unsatisfactory,FALSE,RED,5
11TH AVENUE INN,Unsatisfactory,FALSE,RED,5
11TH AVENUE INN,Unsatisfactory,FALSE,RED,10
11TH AVENUE INN,Satisfactory,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,25
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,3
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,3
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,2
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,3
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,15
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,3
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,15
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,3
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,25
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,2
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Satisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,30
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,30
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,10
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,3
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Complete,FALSE,,0
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,BLUE,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
11TH FRAME RESTAURANT & LOUNGE,Unsatisfactory,FALSE,RED,5
12 SCOOPS,Unsatisfactory,FALSE,RED,5
12 SCOOPS,Satisfactory,FALSE,,0
12 SCOOPS,Satisfactory,FALSE,,0
12 SCOOPS,Complete,FALSE,,0
12 SCOOPS,Satisfactory,FALSE,,0
12 SCOOPS,Satisfactory,FALSE,BLUE,5
12 SCOOPS,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Satisfactory,FALSE,,0
120TH GROCERY & DELI,Complete,FALSE,,0
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,RED,5
125TH ST GRILL,Unsatisfactory,FALSE,RED,10
125TH ST GRILL,Unsatisfactory,FALSE,RED,5
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,RED,5
125TH ST GRILL,Complete,FALSE,,0
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,3
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,RED,5
125TH ST GRILL,Unsatisfactory,FALSE,RED,25
125TH ST GRILL,Unsatisfactory,FALSE,RED,10
125TH ST GRILL,Complete,FALSE,,0
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,BLUE,5
125TH ST GRILL,Unsatisfactory,FALSE,RED,10
125TH ST GRILL,Unsatisfactory,FALSE,RED,10
125TH ST GRILL,Unsatisfactory,FALSE,RED,5
12TH AVE CAFE,,,,0
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Complete,FALSE,,0
13 COINS,Satisfactory,FALSE,,0
13 COINS,Complete,FALSE,,0
13 COINS,Satisfactory,FALSE,BLUE,5
13 COINS,Satisfactory,FALSE,BLUE,5
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,25
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Satisfactory,FALSE,,0
13 COINS,Unsatisfactory,TRUE,RED,25
13 COINS,Unsatisfactory,TRUE,RED,25
13 COINS,Unsatisfactory,TRUE,RED,10
13 COINS,Unsatisfactory,TRUE,RED,5
13 COINS,Unsatisfactory,TRUE,RED,25
13 COINS,Unsatisfactory,TRUE,RED,10
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,BLUE,2
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Complete,FALSE,,0
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Satisfactory,FALSE,BLUE,5
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,BLUE,2
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,BLUE,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,,0
13 COINS,Complete,FALSE,,0
13 COINS,Unsatisfactory,FALSE,RED,10
13 COINS,Unsatisfactory,FALSE,RED,5
13 COINS,Complete,FALSE,,0
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Satisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Satisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,BLUE,5
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS BELLEVUE,Unsatisfactory,FALSE,RED,10
13 COINS RESTAURANT,Unsatisfactory,FALSE,RED,5
13 COINS RESTAURANT,Complete,FALSE,,0
13 COINS RESTAURANT,Satisfactory,FALSE,BLUE,5
13 COINS RESTAURANT,Satisfactory,FALSE,BLUE,2
13 COINS RESTAURANT,Satisfactory,FALSE,BLUE,5
13 COINS RESTAURANT,Complete,FALSE,,0
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,3
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,25
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Satisfactory,FALSE,RED,25
14 CARROT CAFE,Satisfactory,FALSE,RED,25
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,RED,5
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,25
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,,0
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Complete,FALSE,RED,10
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,25
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Unsatisfactory,FALSE,BLUE,5
14 CARROT CAFE,Unsatisfactory,FALSE,RED,10
14 CARROT CAFE,Unsatisfactory,FALSE,RED,5
14 CARROT CAFE,Complete,FALSE,,0
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
14 CARROT CAFE,Satisfactory,FALSE,BLUE,5
15 - PHO,Satisfactory,FALSE,,0
15 - PHO,Unsatisfactory,FALSE,BLUE,5
15 - PHO,Unsatisfactory,FALSE,RED,5
15 - PHO,Unsatisfactory,FALSE,RED,10
15 - PHO,Complete,FALSE,,0
1899 GROVE @ WOODLAND PARK ZOO,,,,0
19 GOLD,Satisfactory,FALSE,BLUE,5
19 GOLD,Satisfactory,FALSE,BLUE,3
19 GOLD,Unsatisfactory,FALSE,BLUE,3
19 GOLD,Unsatisfactory,FALSE,BLUE,5
19 GOLD,Unsatisfactory,FALSE,RED,10
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,RED,15
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,RED,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,RED,10
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,3
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,BLUE,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,RED,5
2 FINGERS  SOCIAL,Unsatisfactory,FALSE,RED,10
2 SISTERS ESPRESSO,Unsatisfactory,FALSE,RED,5
2 SISTERS ESPRESSO,Complete,FALSE,,0
2 SISTERS ESPRESSO,Satisfactory,FALSE,,0
2 SISTERS ESPRESSO,Satisfactory,FALSE,,0
2 SISTERS ESPRESSO,Satisfactory,FALSE,BLUE,5
2 SISTERS ESPRESSO,Complete,FALSE,,0
2 SISTERS ESPRESSO,Satisfactory,FALSE,BLUE,2
2 SISTERS ESPRESSO,Satisfactory,FALSE,BLUE,2
20 CORNERS BREWING CO.,Satisfactory,FALSE,,0
20 CORNERS BREWING CO.,Unsatisfactory,FALSE,RED,5
20 CORNERS BREWING CO.,Complete,FALSE,,0
20 CORNERS BREWING CO.,Satisfactory,FALSE,,0
20 CORNERS BREWING CO.,Unsatisfactory,FALSE,BLUE,5
20 CORNERS BREWING CO.,Unsatisfactory,FALSE,BLUE,3
20 CORNERS BREWING CO.,Unsatisfactory,FALSE,RED,5
20 CORNERS BREWING CO.,Unsatisfactory,FALSE,BLUE,5
20 CORNERS BREWING CO.,Unsatisfactory,FALSE,RED,10
20 CORNERS BREWING CO.,Satisfactory,FALSE,,0
20 CORNERS BREWING CO.,Complete,FALSE,,0
20 CORNERS BREWING CO.,Satisfactory,FALSE,,0
20 CORNERS BREWING CO.,Satisfactory,FALSE,,0
20 OZ TEA,Complete,FALSE,,0
20 OZ TEA,Unsatisfactory,FALSE,RED,5
20 OZ TEA,Satisfactory,FALSE,,0
20 OZ TEA,Complete,FALSE,,0
20 OZ TEA,Satisfactory,FALSE,,0
203 DEGREES FAHRENHEIT COFFEE,Unsatisfactory,FALSE,RED,10
203 DEGREES FAHRENHEIT COFFEE,Satisfactory,FALSE,,0
206 BAR,,,,0
206 BURGER CO,Satisfactory,FALSE,,0
206 BURGER CO,Unsatisfactory,FALSE,RED,10
206 BURGER CO,Satisfactory,FALSE,,0
206 BURGER CO,Unsatisfactory,FALSE,RED,10
206 BURGER CO,Complete,FALSE,,0
206 BURGER CO,Satisfactory,FALSE,BLUE,5
206 BURGER CO,Satisfactory,FALSE,BLUE,3
206 BURGER CO,Satisfactory,FALSE,BLUE,5
206 BURGER CO,Complete,FALSE,,0
206 BURGER CO,Satisfactory,FALSE,,0
206 BURGER CO,Unsatisfactory,FALSE,RED,25
206 BURGER CO,Complete,FALSE,,0
206 BURGER CO,Satisfactory,FALSE,,0
206 BURGER COMPANY,Satisfactory,FALSE,,0
206 BURGER COMPANY,Unsatisfactory,FALSE,RED,25
206 BURGER COMPANY,Complete,FALSE,,0
206 BURGER COMPANY,Satisfactory,FALSE,,0
206 BURGER COMPANY,Satisfactory,FALSE,,0
206 BURGER COMPANY,Satisfactory,FALSE,,0
206 BURGER COMPANY,,,,0
21 ACRES MARKET,Satisfactory,FALSE,,0
21 ACRES MARKET,Satisfactory,FALSE,,0
21 ACRES MARKET,Complete,FALSE,,0
21 ACRES MARKET,Satisfactory,FALSE,,0
21 ACRES MARKET,Unsatisfactory,FALSE,RED,5
